order_id,order_quantity,seller_id,product_id,product_price,product_name,buyer_id,first_name,last_name,email,address,city,country,cc_number,cc_exp,review,rating,seller_name,seller_country,order_date
130001,10,44440,121813,14676,"Plain Table",11859,Izabella,Conroy,merlin.toy@hotmail.com,"140 Antonetta Club",Caseyport,"United States",379251081359954,12-2024,"Aut doloremque voluptatem culpa et.",2.5,Murray-Weber,"Hong Kong",10-01-2019
130002,6,45523,68426,1348,"Unsavory Wheel lock",24110,Imogen,Murphy,grant.reina@gmail.com,"Flat 96p
Williams Field","New Kieran","United Kingdom",340088575376433,10-2026,"Maxime vitae beatae quisquam asperiores.",5,"Carroll, Schneider and Volkman",Nigeria,09-29-2020
130003,1,39299,53702,4369,"Charming Luggage set",18286,Larissa,Witting,arianna72@gmail.com,"125 Gorczany Crest",Coltenport,"United States",2567689679717174,04-2024,"Et cupiditate et quia qui.",3.5,Nicolas-Pacocha,Nigeria,03-15-2024
130004,10,36057,56944,3140,"Drab Coenzyme Q10",2423,Kaley,Marvin,gilberto.crooks@hotmail.com,"50605 Jamal Glens Apt. 696","West Lucie","United States",4716752376864388,11-2024,"Dolorem qui omnis et illum maiores.",2.5,"Cummerata, Kohler and Breitenberg","United States",06-11-2021
130005,7,38652,82966,3197,"Epic Laptop",27973,Aastha,Jha,howell.jarrett@hotmail.com,"59, Jawahar Society, SomnathGarh",Hyderabad,India,5447668554582563,02-2025,"Quas et ipsum esse repellat consequuntur.",2,"Reichel, Berge and Beer",Singapore,04-08-2022
130006,8,45743,117139,16549,"Surreal Sticky notes",2999,Ajay,Meka,hegmann.matteo@langworth.com,"23, Ghalib Nagar,",Thiruvananthapuram,India,5302527729138392,11-2026,"Repellat facilis dicta molestiae officia dignissimos quae.",2.5,"Stehr, Ebert and Hessel","New Zealand",02-26-2021
130007,10,37417,65298,2896,"Enigmatic Car",1162,Simisola,Leonard,niko49@yahoo.com,"88 Chidinma Street",AdaugoVille,Nigeria,6011956663975735,09-2025,"Nemo amet et ratione dolor.",5,"West Ltd","Hong Kong",01-28-2022
130008,4,42276,114907,18695,"Jubilant Modem",1589,Burnice,Langosh,hyatt.phyllis@hotmail.com,"114 Mercedes Loaf",Newellberg,"United States",4532091103404875,10-2026,"Velit ut eaque cumque quia possimus.",2.5,"Reichert, Mayer and Keeling",Singapore,04-08-2020
130009,3,32324,107530,2514,"Resplendent Hiking boots",28886,Karin,Gouws,bins.alden@gmail.com,"4959 Uys Plaza",Nieuwoudtmouth,"South Africa",4485252056528253,02-2025,"Mollitia necessitatibus deserunt in repellendus.",3,"McClure Ltd",India,05-16-2021
130010,1,39987,89597,14850,"Bewitched Tray",29195,Greyson,Feeney,fglover@brakus.com,"47/51 Rosenbaum Centers Suite 721",Mati,Philippines,2458205442298699,03-2025,"Dolor aspernatur autem ut adipisci illo nihil.",5,"Cummings, Auer and Prohaska","Hong Kong",12-20-2021
130011,2,32344,125952,3053,"Dramatic Travel scale",18082,Bankole,Sekinat,rubie34@sipes.net,"99 Segunmaru Street",AyebatariVille,Nigeria,341961279322482,09-2026,"Eos voluptatem eos sunt.",1,"Considine, Bogisich and Dicki",India,07-27-2021
130012,1,31255,61746,4950,"Offbeat Razor",1717,Garret,Murphy,stacy56@block.net,"92 Leng Mi Pok","New Territories","Hong Kong",5228070259342432,05-2026,"Tempora officiis nemo libero facere impedit exercitationem quo.",4,"Connelly, Aufderhar and Leannon",India,01-08-2020
130013,6,42345,106674,4242,"Unenthusiastic Shampoo",1691,Vusi,Mthembu,kmonahan@schimmel.com,"4066 Butler Path Suite 729",Molepoburgh,"South Africa",5124836945137880,07-2025,"Fugiat sit necessitatibus delectus iste.",2.5,"Haley Ltd","New Zealand",01-09-2023
130014,5,36354,100864,2238,"Lavish Highlighter",215,Olin,Kuphal,christelle.koepp@yahoo.com,"52 Tok Sheuk Shat Street East",Kowloon,"Hong Kong",372731860214840,05-2025,"Non doloremque quos amet et id quasi.",3,"Daniel, Lakin and Wehner","United Kingdom",01-25-2020
130015,9,44545,105353,16543,"Common Pin",6609,Orion,Kshlerin,geoffrey.luettgen@yahoo.com,"823 Lynch Locks",Eldonchester,"United States",2641421268654877,04-2025,"Dolore fugiat quos praesentium eum.",3,Kub-Vandervort,"United States",02-24-2021
130016,8,33084,64138,3743,"Standard Trash can",9116,Juvenal,Altenwerth,adela.kuphal@yahoo.com,"64 Pung Heu","New Territories","Hong Kong",6011973350495166,03-2025,"Sint recusandae aut unde modi.",2,Rath-Upton,"United Kingdom",09-27-2022
130017,4,37369,104998,3437,"Disquieting Comb",26432,Joe,Thompson,earlene.dickens@gmail.com,"4 Vicky Circles","East Victoria","United Kingdom",3589203058303804,03-2025,"Enim ad quasi vel aut sunt.",5,Wolff-Hansen,"Hong Kong",04-06-2021
130018,1,40624,75272,2194,"Bewitching Lipstick",25284,Guiseppe,Dach,gutkowski.neha@yahoo.com,"30 Mui Kau Me San Tsuen","Hong Kong","Hong Kong",4532759315074021,04-2024,"Repellat molestias voluptatem voluptas aliquam hic eveniet.",1.5,"Ziemann, Skiles and Williamson","Hong Kong",01-06-2021
130019,8,35909,57092,3226,"Unpredictable Cufflinks",4490,Wilbert,Swift,mitchel.gorczany@langosh.com,"360 Kelly Circles","East Edward","United States",342241739534367,10-2025,"Veniam culpa et quis dolorum ut aliquam.",4,Mosciski-Gorczany,Uganda,03-29-2021
130020,5,39969,109150,1145,"Lifeless Stuffed animal",27871,Mark,Anderson,zlegros@grimes.com,"81 Morgan Cape","East Jamie","United Kingdom",4532168122700549,01-2025,"Eligendi voluptas nisi sit ratione omnis.",3,"Stoltenberg, Schmidt and Johnston","United Kingdom",07-13-2021
130021,9,31847,80357,13289,"Monochrome Camp cot",2421,Narayan,Randhawa,janick34@botsford.com,"39, JobinPur,",Meerut,India,6011765884633902,09-2024,"Occaecati accusantium natus quod.",3.5,Collins-Shields,Singapore,02-03-2021
130022,9,33426,100447,11995,"Apathetic Glucosamine",634,Harmon,Adams,kuphal.josephine@schowalter.org,"44 Sak Sek Pa",Kowloon,"Hong Kong",5167226412983750,01-2027,"Aut natus provident consequatur voluptatibus fugit vel.",1,Dach-Lemke,Nigeria,04-07-2020
130023,8,33726,59275,10878,"Routine Beret",3235,Cathryn,Kalumba,horace.bode@price.com,"552 Kirigwajjo Harbors",Lyantonde,Uganda,2359271146241567,08-2024,"Molestiae sed ipsa et quia.",4.5,Fadel-Ward,"Hong Kong",12-18-2023
